benefitamount (DEV Raw),benefitamount (QA Raw),,benefittyperaw (DEV Raw),benefittyperaw (QA Raw),termcode (DEV Raw),termcode (QA Raw),recordactivitydate (DEV Raw),recordactivitydate (QA Raw),personid (DEV Raw),personid (QA Raw)
645.0,600.0,,FFPG,FSEG,199810,199910.0,08/06/99,10/10/03,903,2124.0
200.0,300.0,,FFPG,FSEG,200620,201410.0,11/10/04,04/20/09,30450,36489.0
695.0,500.0,,FFPG,NAVP,200610,201210.0,09/24/06,11/30/07,30037,34318.0
1500.0,166.0,,FFPG,FSEG,200610,201210.0,11/08/99,07/15/04,2056,30946.0
950.0,750.0,,FFPG,FSEG,200610,200910.0,08/04/04,09/10/07,1198,2849.0
1069.0,600.0,,FFPG,FSEG,200510,200810.0,07/18/05,09/02/11,399,701.0
300.0,3950.0,,FFPG,FSEG,201010,200810.0,02/27/06,01/31/14,2494,31944.0
1000.0,125.0,,FFPG,FSEG,199810,200210.0,06/27/01,10/21/02,2786,32493.0
-700.0,-3588.75,,FFPG,FSEG,199810,199910.0,07/06/04,11/17/04,134,200.0
1630.0,750.0,,FFPG,FSEG,200810,201210.0,07/14/04,03/14/07,30538,37385.0
1000.0,2000.0,,FFPG,FSEG,199910,200610.0,07/27/05,10/15/12,2560,32133.0
1250.0,3588.75,,FFPG,FSEG,200510,200720.0,08/06/99,05/08/09,30142,35455.0
600.0,750.0,,FFPG,FSEG,200310,200510.0,08/04/99,03/25/03,30806,39822.0
1575.0,750.0,,FFPG,FSEG,200110,200310.0,10/14/05,03/23/15,2849,32617.0
374.0,250.0,,FFPG,FSEG,200510,200810.0,08/05/99,05/07/03,2257,31720.0
918.0,250.0,,FFPG,FSEG,200610,201210.0,08/04/04,04/23/07,3332,33631.0
2000.0,-187.0,,FFPG,FSEG,200610,201210.0,10/21/02,04/21/09,900,2092.0
200.0,1085.0,,FFPG,FSEG,200310,200610.0,11/07/08,10/30/07,1735,30484.0
113.0,1000.0,,FFPG,NAVP,200510,200810.0,05/09/03,12/14/04,765,1342.0
1500.0,500.0,,FFPG,FSEG,200110,200510.0,08/05/99,04/16/04,3557,34287.0
998.0,250.0,,FFPG,FSEG,200610,201610.0,07/01/04,01/01/08,30824,41105.0
250.0,500.0,,FFPG,FSEG,200310,200610.0,05/15/03,02/27/06,654,900.0
1150.0,250.0,,FFPG,FSEG,200610,201010.0,03/01/01,05/09/06,1873,30555.0
1275.0,450.0,,FFPG,FSEG,200410,200810.0,07/01/04,01/01/08,3438,33798.0
950.0,82.5,,FFPG,FSEG,200510,200710.0,02/02/03,02/09/09,3571,34300.0
1325.0,750.0,,FFPG,ARMP,200420,200810.0,07/01/04,12/06/06,709,915.0
1075.0,-62.0,,FFPG,FSEG,199910,200310.0,07/15/04,03/14/07,2529,32082.0
250.0,-250.0,,FFPG,VMS,200510,200910.0,01/03/08,06/06/06,2058,31021.0
1500.0,750.0,,FFPG,FSEG,199910,200310.0,10/27/06,02/04/10,896,1938.0
600.0,1000.0,,FFPG,FSEG,200510,200720.0,10/05/95,02/10/98,2091,31206.0
750.0,250.0,,FFPG,FSEG,200810,200710.0,10/26/05,10/15/10,2589,32133.0
600.0,-500.0,,FFPG,FSEG,200510,200810.0,08/05/99,07/01/04,30555,38691.0
391.0,1500.0,,FFPG,FSEG,200410,199810.0,12/03/04,08/15/06,2702,32269.0
1300.0,1274.5,,FFPG,FSEG,200510,200910.0,12/14/04,10/09/08,2201,31464.0
600.0,150.0,,FFPG,FSEG,199610,199810.0,03/26/03,10/31/05,1455,3139.0
1825.0,2000.0,,FFPG,FSEG,200410,200710.0,03/15/06,05/17/12,30587,38952.0
600.0,300.0,,FFPG,FSEG,200510,200910.0,09/14/04,09/13/07,30117,34533.0
750.0,250.0,,FFPG,FSEG,200410,200610.0,01/03/08,12/08/10,1201,2875.0
600.0,1000.0,,FFPG,FSEG,200620,201410.0,02/06/03,08/14/06,30587,39129.0
1140.0,500.0,,FFPG,FSEG,200810,200720.0,09/19/00,07/15/04,2849,32621.0
250.0,125.0,,FFPG,FSEG,200610,200910.0,03/10/98,08/05/99,1877,30587.0
750.0,1250.0,,FFPG,FSEG,199810,199920.0,08/22/05,05/01/14,30543,37804.0
-293.0,750.0,,FFPG,FSEG,200510,200710.0,08/05/99,04/15/04,221,620.0
-1100.0,3567.0,,FFPG,FSEG,199810,200210.0,08/05/99,07/01/04,30553,37822.0
356.0,600.0,,FFPG,FSEG,199910,200320.0,06/27/01,02/07/03,599,804.0
1250.0,375.0,,FSEG,NAVP,200610,201010.0,11/17/04,04/21/09,214,407.0
1550.0,250.0,,FFPG,FSEG,200410,200710.0,12/09/04,10/03/08,30519,37157.0
-670.0,600.0,,FFPG,FSEG,200510,200710.0,06/25/03,11/29/05,804,1541.0
230.0,-397.0,,FFPG,FSEG,200310,200610.0,06/22/98,06/13/01,2090,31143.0
